WILAYA,COMMUNE,ZONE_SISMIQUE,Policy_Count,Total_Capital,Pct_Total_Capital,Concentration_Flag
16 - ALGER,99 - ALGER,IIa,447,"40804543615,22","13,62",🚨 CRITICAL
31 - ORAN,1019 - ORAN,IIa,999,"27820147715,22","9,29",🚨 CRITICAL
19 - SETIF,1182 - SETIF,IIb,1101,"26346995355,34","8,8",🚨 CRITICAL
25 - CONSTANTINE,513 - CONSTANTINE,0,742,"9662246675,04","3,23",🚨 CRITICAL
16 - ALGER,106 - BEB EZZOUAR,IIa,233,"7679660205,84","2,56",🚨 CRITICAL
19 - SETIF,1158 - EL EULMA,IIb,2170,"7420811168,0","2,48",🚨 CRITICAL
16 - ALGER,147 - ROUIBA,IIa,258,"6125961110,0","2,05",🚨 CRITICAL
9 - BLIDA,356 - MOUZAIA,III,10,"5369822177,21","1,79",⚠️  HIGH
36 - EL TAREF,623 - EL KALA,0,6,"4907536000,0","1,64",⚠️  HIGH
15 - TIZI OUZOU,1503 - TIZI OUZOU,IIa,1186,"4805618603,2","1,6",⚠️  HIGH
35 - BOUMERDES,471 - TIDJELABINE,I,19,"4256824429,0","1,42",⚠️  HIGH
16 - ALGER,105 - BARAKI,IIa,334,"4124900702,32","1,38",⚠️  HIGH
11 - TAMENRASSET,1315 - TAMANRASSET,III,765,"3844964140,0","1,28",⚠️  HIGH
12 - TEBESSA,1344 - TEBESSA,III,106,"3476574079,23","1,16",⚠️  HIGH
35 - BOUMERDES,461 - LARBATACHE,I,23,"3236164400,0","1,08",⚠️  HIGH
29 - MASCARA,786 - MASCARA,I,953,"3006705197,37","1,0",⚠️  HIGH
16 - ALGER,118 - CHERAGA ALGER,IIa,598,"2887511137,0","0,96",✓ OK
34 - B.B ARRERIDJ,368 - BORDJ BOU ARRERIDJ,IIa,950,"2800127070,0","0,93",✓ OK
14 - TIARET,1384 - TIARET,IIb,439,"2731204830,6","0,91",✓ OK
15 - TIZI OUZOU,1504 - TIZI RACHED,IIa,106,"2652197950,0","0,89",✓ OK
